# tof, counts, bg
3.160000000000327702e+01,4.700000000000000000e+01,1.248097589056226830e+01
3.200000000000328271e+01,3.000000000000000000e+01,1.249044485115352288e+01
3.240000000000328839e+01,3.900000000000000000e+01,1.256718432095705928e+01
3.280000000000329408e+01,3.600000000000000000e+01,1.261559050175950780e+01
3.320000000000329976e+01,3.500000000000000000e+01,1.266887544215741457e+01
3.360000000000330544e+01,2.900000000000000000e+01,1.267600315040382419e+01
3.400000000000331113e+01,3.100000000000000000e+01,1.272705429418766521e+01
3.440000000000331681e+01,2.200000000000000000e+01,1.278677631505492585e+01
3.480000000000332250e+01,2.300000000000000000e+01,1.286290452001940743e+01
3.520000000000332818e+01,2.300000000000000000e+01,1.297261788078162326e+01
3.560000000000333387e+01,2.800000000000000000e+01,1.305270088748689972e+01
3.600000000000333955e+01,2.300000000000000000e+01,1.310726402061532880e+01
3.640000000000334524e+01,2.400000000000000000e+01,1.317160514094590518e+01
3.680000000000335092e+01,1.900000000000000000e+01,1.324704356451166198e+01
3.720000000000335660e+01,2.900000000000000000e+01,1.330831742543662877e+01
3.760000000000336229e+01,2.500000000000000000e+01,1.341395904273323225e+01
3.800000000000336797e+01,2.900000000000000000e+01,1.349454043929697100e+01
3.840000000000337366e+01,3.400000000000000000e+01,1.356818459804625299e+01
3.880000000000337934e+01,4.000000000000000000e+01,1.366581224736976274e+01
3.920000000000338503e+01,3.600000000000000000e+01,1.373566842009327793e+01
3.960000000000339071e+01,4.200000000000000000e+01,1.382006409379211220e+01
4.000000000000339639e+01,4.300000000000000000e+01,1.388154132002117080e+01
4.040000000000340208e+01,3.600000000000000000e+01,1.395655560200149381e+01
4.080000000000340776e+01,3.600000000000000000e+01,1.401303437177095468e+01
4.120000000000341345e+01,4.600000000000000000e+01,1.409591715711855997e+01
4.160000000000341913e+01,4.000000000000000000e+01,1.416540380538079447e+01
4.200000000000342482e+01,4.400000000000000000e+01,1.422438981925617973e+01
4.240000000000343050e+01,4.800000000000000000e+01,1.429662552782451357e+01
4.280000000000343618e+01,3.500000000000000000e+01,1.435432010749127585e+01
4.320000000000344187e+01,5.400000000000000000e+01,1.440569911677921056e+01
4.360000000000344755e+01,4.600000000000000000e+01,1.444476661682927698e+01
4.400000000000345324e+01,4.500000000000000000e+01,1.446209419699504473e+01
4.440000000000345892e+01,4.600000000000000000e+01,1.446618846317862861e+01
4.480000000000346461e+01,4.000000000000000000e+01,1.450197368795227959e+01
4.520000000000347029e+01,6.300000000000000000e+01,1.449029335340842550e+01
4.560000000000347598e+01,4.400000000000000000e+01,1.447149861701485563e+01
4.600000000000348166e+01,3.600000000000000000e+01,1.444201534369091000e+01
4.640000000000348734e+01,3.200000000000000000e+01,1.440454769514453304e+01
4.680000000000349303e+01,3.300000000000000000e+01,1.432689090477878580e+01
4.720000000000349871e+01,4.400000000000000000e+01,1.424227169145903282e+01
4.760000000000350440e+01,3.600000000000000000e+01,1.415971113927575864e+01
4.800000000000351008e+01,3.800000000000000000e+01,1.408405112756396349e+01
4.840000000000351577e+01,3.200000000000000000e+01,1.398320284490767484e+01
4.880000000000352145e+01,3.700000000000000000e+01,1.385987619128737158e+01
4.920000000000352713e+01,2.600000000000000000e+01,1.373060550379903866e+01
4.960000000000353282e+01,3.600000000000000000e+01,1.359431062891199460e+01
5.000000000000353850e+01,1.700000000000000000e+01,1.347682839146350986e+01
5.040000000000354419e+01,3.800000000000000000e+01,1.334645419536678190e+01
5.080000000000354987e+01,2.300000000000000000e+01,1.323180372263197668e+01
5.120000000000355556e+01,2.900000000000000000e+01,1.311639677238212087e+01
5.160000000000356124e+01,2.300000000000000000e+01,1.298277881432384184e+01
5.200000000000356692e+01,2.300000000000000000e+01,1.285123199037622044e+01
5.240000000000357261e+01,3.000000000000000000e+01,1.271407735843676434e+01
5.280000000000357829e+01,2.900000000000000000e+01,1.258452452196587146e+01
5.320000000000358398e+01,3.200000000000000000e+01,1.241866331302231785e+01
5.360000000000358966e+01,3.400000000000000000e+01,1.222937543758019352e+01
5.400000000000359535e+01,3.800000000000000000e+01,1.205456089228426464e+01
5.440000000000360103e+01,3.700000000000000000e+01,1.191567087639536737e+01
5.480000000000360671e+01,3.600000000000000000e+01,1.175685869700542341e+01
5.520000000000361240e+01,3.700000000000000000e+01,1.161210281986016923e+01
5.560000000000361808e+01,3.900000000000000000e+01,1.145736409970385949e+01
5.600000000000362377e+01,2.500000000000000000e+01,1.131122430181606120e+01
5.640000000000362945e+01,3.200000000000000000e+01,1.116974413327653792e+01
5.680000000000360671e+01,3.500000000000000000e+01,1.099736042054190222e+01
5.720000000000364082e+01,3.400000000000000000e+01,1.081470013109795580e+01
5.760000000000367493e+01,3.900000000000000000e+01,1.064008105204231747e+01
5.800000000000365219e+01,4.900000000000000000e+01,1.046732600770228494e+01
5.840000000000362945e+01,6.400000000000000000e+01,1.029423736755599705e+01
5.880000000000366356e+01,7.700000000000000000e+01,1.014674627219737246e+01
5.920000000000369766e+01,9.500000000000000000e+01,9.990789521880248714e+00
5.960000000000367493e+01,1.360000000000000000e+02,9.833903144850912881e+00
6.000000000000365219e+01,1.910000000000000000e+02,9.656224507870474483e+00
6.040000000000368630e+01,2.560000000000000000e+02,9.484061101211459288e+00
6.080000000000372040e+01,2.700000000000000000e+02,9.318971130534265512e+00
6.120000000000369766e+01,3.360000000000000000e+02,9.173508702562575223e+00
6.160000000000367493e+01,3.760000000000000000e+02,9.044224193344660989e+00
6.200000000000370903e+01,4.080000000000000000e+02,8.912033502959623377e+00
6.240000000000374314e+01,5.270000000000000000e+02,8.757558894519345216e+00
6.280000000000372040e+01,4.850000000000000000e+02,8.593942477020702242e+00
6.320000000000369766e+01,5.300000000000000000e+02,8.475773678527245281e+00
6.360000000000373177e+01,5.440000000000000000e+02,8.350430936088992340e+00
6.400000000000376588e+01,5.380000000000000000e+02,8.221377689421553114e+00
6.440000000000374314e+01,5.710000000000000000e+02,8.104567616870761881e+00
6.480000000000372040e+01,5.300000000000000000e+02,7.987553918203769143e+00
6.520000000000375451e+01,5.020000000000000000e+02,7.846976045182735504e+00
6.560000000000378861e+01,4.610000000000000000e+02,7.706535749402872781e+00
6.600000000000376588e+01,4.270000000000000000e+02,7.578520196076404147e+00
6.640000000000374314e+01,3.370000000000000000e+02,7.460305308993775419e+00
6.680000000000377725e+01,3.040000000000000000e+02,7.357805291438838324e+00
6.720000000000381135e+01,2.680000000000000000e+02,7.232959002575560348e+00
6.760000000000378861e+01,2.390000000000000000e+02,7.101060760859204457e+00
6.800000000000376588e+01,1.680000000000000000e+02,6.981633050044877109e+00
6.840000000000379998e+01,1.410000000000000000e+02,6.872753586433574036e+00
6.880000000000383409e+01,1.150000000000000000e+02,6.765309719417928136e+00
6.920000000000381135e+01,8.500000000000000000e+01,6.663878568542578762e+00
6.960000000000378861e+01,9.800000000000000000e+01,6.564042264810220573e+00
7.000000000000382272e+01,6.500000000000000000e+01,6.450949001940193384e+00
7.040000000000385683e+01,6.500000000000000000e+01,6.342433919791879759e+00
7.080000000000383409e+01,5.000000000000000000e+01,6.237788555706825555e+00
7.120000000000381135e+01,5.200000000000000000e+01,6.133559343518368401e+00
7.160000000000384546e+01,4.300000000000000000e+01,6.029515705326502939e+00
7.200000000000387956e+01,4.400000000000000000e+01,5.923950833500834179e+00
7.240000000000385683e+01,4.300000000000000000e+01,5.824950584446855650e+00
7.280000000000383409e+01,4.700000000000000000e+01,5.731208060135069005e+00
7.320000000000386819e+01,3.700000000000000000e+01,5.636536996564675661e+00
7.360000000000390230e+01,3.200000000000000000e+01,5.539065983591195064e+00
7.400000000000387956e+01,3.600000000000000000e+01,5.439688861457987912e+00
7.440000000000385683e+01,3.700000000000000000e+01,5.342093748454315616e+00
7.480000000000389093e+01,3.500000000000000000e+01,5.248144048583060162e+00
7.520000000000392504e+01,3.400000000000000000e+01,5.155524682510871592e+00
7.560000000000390230e+01,2.800000000000000000e+01,5.067864016638647939e+00
7.600000000000387956e+01,3.100000000000000000e+01,4.984859413415598794e+00
7.640000000000391367e+01,2.500000000000000000e+01,4.902235756881470508e+00
7.680000000000394778e+01,3.200000000000000000e+01,4.821095605090053304e+00
7.720000000000392504e+01,2.400000000000000000e+01,4.742035977961207571e+00
7.760000000000390230e+01,2.700000000000000000e+01,4.661638269180286009e+00
7.800000000000393641e+01,2.700000000000000000e+01,4.581833186095861876e+00
7.840000000000397051e+01,2.000000000000000000e+01,4.495834115990880342e+00
7.880000000000394778e+01,2.300000000000000000e+01,4.407945669023778379e+00
7.920000000000392504e+01,2.100000000000000000e+01,4.321916116624180404e+00
